Title,Author,Year
The Three-Body Problem,Cixin Liu,2015
Ancillary Justice,Ann Leckie,2014
Redshirts,John Scalzi,2013
Among Others,Jo Walton,2012
Blackout-All Clear,Connie Willis,2011
The City & the City,China Mieville,2010
The Windup Girl,Paolo Bacigalupi,2010
The Graveyard Book,Neil Gaiman,2009
The Yiddish Policemen's Union,Michael Chabon,2008
Rainbows End,Vernor Vinge,2007
Spin,Robert Charles Wilson,2006
Jonathan Strange & Mr Norrell,Susanna Clarke,2005
Paladin of Souls,Lois McMaster Bujold,2004
Hominids,Robert J. Sawyer,2003
American Gods,Neil Gaiman,2002
Harry Potter and the Goblet of Fire,J. K. Rowling,2001
A Deepness in the Sky,Vernor Vinge,2000
To Say Nothing of the Dog,Connie Willis,1999
Forever Peace,Joe Haldeman,1998
Blue Mars,Kim Stanley Robinson,1997
